"Swift \ Xcode","6.0","6.0.1","6.1","6.1.1","6.2","6.3","6.3.1","6.3.2","6.4","7.0","7.0.1","7.1","7.1.1","7.2","7.2.1","7.3","7.3.1","8.0","8.1","8.2","8.2.1","8.3","8.3.1","8.3.2","8.3.3","9.0","9.0.1","9.1","9.2","9.3"
"1.0",Unsupported,Supported,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"1.1",Unsupported,Unsupported,Supported,Supported,Supported,Unknown,Unknown,Unknown,Unknown,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"1.2",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Supported,Supported,Migrate Only,Migrate Only,Migrate Only,Migrate Only,Unknown,Unknown,Unknown,Unknown,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"2.0",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"2.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"2.1.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"2.2",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"2.3",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Discouraged,Discouraged,Discouraged,Discouraged,Discouraged,Discouraged,Discouraged,Discouraged,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"3.0",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"3.0.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"3.0.2",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"3.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Supported,Supported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
"3.2",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Discouraged,Discouraged,Discouraged,Discouraged,Discouraged
"4.0",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Supported,Unsupported,Unsupported,Unsupported
"4.0.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unknown,Unknown,Unsupported,Unsupported
"4.0.2",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Unsupported,Unsupported
"4.0.3",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported,Unsupported
"4.1",Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Supported
